color;red;green;blue;hex;color_name;lum;hue;sat;lig
Other;238;230;0;#EEE600;Titanium Yellow;85;58;100;47
Other;240;225;48;#F0E130;Dandelion;85;55;86;56
Other;230;226;0;#E6E200;Peridot;83;59;100;45
Other;228;217;111;#E4D96F;Straw;82;54;68;66
Other;236;213;64;#ECD540;Sandstorm;81;52;82;59
Other;207;207;196;#CFCFC4;Pastel Gray;81;60;10;79
Other;228;208;10;#E4D00A;Citrine;79;55;92;47
Other;189;183;107;#BDB76B;Dark Khaki;69;56;38;58
Other;181;166;66;#B5A642;Brass;63;52;47;48
Other;223;255;0;#DFFF00;Chartreuse;90;68;100;50
Other;191;255;0;#BFFF00;Lime;87;75;100;50
Other;167;252;0;#A7FC00;Spring Bud;85;80;100;49
Other;209;226;49;#D1E231;Pear;81;66;75;54
Other;164;198;57;#A4C639;Android Green;70;74;55;50
Other;141;182;0;#8DB600;Apple Green;62;74;100;36
Other;132;132;130;#848482;Battleship Grey;52;60;1;51
Other;128;128;0;#808000;Olive;47;60;100;25
Other;75;83;32;#4B5320;Army Green;30;69;44;23
Other;178;236;93;#B2EC5D;Inchworm;82;84;79;65
Other;124;252;0;#7CFC00;Lawn Green;82;90;100;49
Other;102;255;0;#66FF00;Bright Green;82;96;100;50
Other;172;225;175;#ACE1AF;Celadon;81;123;47;78
Other;119;221;119;#77DD77;Pastel Green;74;120;60;67
Other;147;197;114;#93C572;Pistachio;69;96;42;61
Other;133;187;101;#85BB65;Dollar Bill;65;98;39;56
Other;135;169;107;#87A96B;Asparagus;60;93;27;54
Other;3;192;60;#03C03C;Dark Pastel Green;60;138;97;38
Other;120;134;107;#78866B;Camouflage Green;50;91;11;47
Other;19;136;8;#138808;India Green;42;115;89;28
Other;0;128;0;#008000;Green;39;120;100;25
Other;85;107;47;#556B2F;Dark Olive Green;37;82;39;30
Other;65;72;51;#414833;Rifle Green;27;80;17;24
Blue;127;255;212;#7FFFD4;Aquamarine;88;160;100;75
Blue;0;255;111;#00FF6F;Clover;81;146;100;50
Blue;178;190;181;#B2BEB5;Ash Grey;73;135;8;72
Blue;163;193;173;#A3C1AD;Cambridge Blue;72;140;19;70
Blue;0;204;153;#00CC99;Caribbean Green;67;165;100;40
Blue;80;200;120;#50C878;Emerald;66;140;52;55
Blue;62;180;137;#3EB489;Mint;60;158;49;47
Blue;3;192;60;#03C03C;Dark Pastel Green;60;138;97;38
Blue;0;168;107;#00A86B;Jade;54;158;100;33
Blue;115;134;120;#738678;Xanadu;50;136;8;49
Blue;0;117;94;#00755E;Tropical Rain Forest;38;168;100;23
Blue;23;114;69;#177245;Dark Spring Green;37;150;66;27
Blue;0;107;60;#006B3C;Cadmium Green;34;154;100;21
Blue;1;68;33;#014421;Forest Green;21;149;97;14
Blue;0;66;37;#004225;British Racing Green;20;154;100;13
Blue;1;50;32;#013220;Dark Green;15;158;96;10
Blue;26;36;33;#1A2421;Dark Jungle Green;13;162;16;12
Blue;231;254;255;#E7FEFF;Bubbles;97;183;100;95
Blue;0;255;255;#00FFFF;Cyan;87;180;100;50
Blue;155;221;255;#9BDDFF;Columbia Blue;83;200;100;80
Blue;8;232;222;#08E8DE;Bright Turquoise;79;177;93;47
Blue;137;207;240;#89CFF0;Baby Blue;78;199;77;74
Blue;135;206;235;#87CEEB;Sky Blue;77;197;71;73
Blue;174;198;207;#AEC6CF;Pastel Blue;76;196;26;75
Blue;48;213;200;#30D5C8;Turquoise;73;175;66;51
Blue;0;139;139;#008B8B;Dark Cyan;47;180;100;27
Blue;0;123;167;#007BA7;Cerulean;46;196;100;33
Blue;0;128;128;#008080;Teal;43;180;100;25
Blue;1;121;111;#01796F;Pine Green;40;175;98;24
Blue;47;79;79;#2F4F4F;Dark Slate Gray;28;180;25;25
Blue;240;248;255;#F0F8FF;Alice Blue;97;208;100;97
Blue;161;202;241;#A1CAF1;Baby Blue Eyes;78;209;74;79
Blue;153;186;221;#99BADD;Carolina Blue;73;211;50;73
Blue;113;166;210;#71A6D2;Iceberg;64;207;52;63
Blue;100;149;237;#6495ED;Cornflower Blue;62;219;79;66
Blue;119;158;203;#779ECB;Dark Pastel Blue;62;212;45;63
Blue;91;146;229;#5B92E5;United Nations Blue;60;216;73;63
Blue;49;140;231;#318CE7;Bleu De France;58;210;79;55
Blue;0;127;255;#007FFF;Azure;57;210;100;50
Blue;93;138;168;#5D8AA8;Air Force Blue;53;204;30;51
